Sheet Name,Finca Time,Isabelgroup Time,Freetime Time,Finca Percentage,Isabelgroup Percentage,Freetime Percentage,Work Description,Billed Hours,Work date
09-24-tempo,61.0,107.0,0,36.30952380952381,63.69047619047619,0.0,Clearnox - Calculator -> Change all the yearly fee to 2000,1.00,2024-09-02 09:00:00
,,,,,,,Clearnox - Calculator -> Change all the yearly fee to 2000,1.00,2024-09-02 12:00:00
,,,,,,,"Create all the changes ACC (Clearnox, Clearfacts, Clearnox and My Flowin) for footer, mailgun and calculator",2.50,2024-09-02 13:00:00
,,,,,,,"Create all the changes ACC (Clearnox, Clearfacts, Clearnox and My Flowin) for footer, mailgun and calculator to push to PROD tomorrow",1.00,2024-09-02 16:00:00
,,,,,,,"CAB - Live websites (Clearnox, Clearfacts, Codabox, My Flowin)",0.50,2024-09-03 11:00:00
,,,,,,,"CAB - Live websites (Clearnox, Clearfacts, Codabox, My Flowin)",1.00,2024-09-03 12:00:00
,,,,,,,"New footer and header for: Clearnox, Codabox, Clearfacts, My Flowin",1.00,2024-09-03 13:00:00
,,,,,,,"Test - Clearfacts, Codabox, Clearnox and My Flowin",2.00,2024-09-03 15:00:00
,,,,,,,Migration workshop Isabel -> Finca,1.00,2024-09-03 14:00:00
,,,,,,,Dynamic header for Zoomit,2.00,2024-09-04 12:00:00
,,,,,,,Dynamic header for Clearfacts,2.00,2024-09-04 14:00:00
,,,,,,,Setup Mailgun for Onboarding Codabox Form,1.00,2024-09-04 16:00:00
,,,,,,,Setup Mailgun for Onboarding Codabox Form,1.00,2024-09-05 10:30:00
,,,,,,,Live: Zoomit and Clearfacts (add scripts and css),2.00,2024-09-05 12:00:00
,,,,,,,Zoomit: fix dynamic footer and safe svg,1.00,2024-09-05 14:00:00
,,,,,,,Setup Mailgun for Onboarding Codabox Form,5.00,2024-09-06 12:00:00
,,,,,,,Clearnox - Create dynamic popup in javascript for the calculator (urgent request),1.50,2024-09-09 15:30:00
,,,,,,,Clearnox - Create dynamic popup in javascript for the calculator (urgent request),1.00,2024-09-10 12:00:00
,,,,,,,Clearnox - Create dynamic popup in javascript for the calculator (urgent request),0.50,2024-09-10 11:00:00
,,,,,,,Live & Test - Zoomit,1.00,2024-09-10 13:00:00
,,,,,,,Migration workshop Isabel -> Finca,1.00,2024-09-10 14:00:00
,,,,,,,Clearfacts - Debugging problem with pipelines (timeout),1.50,2024-09-11 10:00:00
